customer_id,customer_name,gender
17,Ethan Martin,Male
50,Penelope Reed,Female
94,Eleanor Stewart,Female
80,Caroline Morgan,Female
20,Amelia Gonzalez,Female
85,Wyatt Alexander,Male
55,Jonathan Bailey,Male
45,Gabriel Ramirez,Male
67,Adam James,Male
23,Alexander Walker,Male
27,Henry Scott,Male
82,Savannah Howard,Female
4,Emily Brown,Female
12,Mia Taylor,Female
2,Jane Smith,Female
48,Zoe Morris,Female
69,Jack Ross,Male
67,Adam James,Male
37,David Roberts,Male
76,Audrey Perry,Female
64,Nora Hughes,Female
75,Isaac Jenkins,Male
53,Christian Bell,Male
66,Luna Flores,Female
71,Owen Foster,Male
34,Lily Carter,Female
54,Aubrey Cooper,Female
82,Savannah Howard,Female
59,Isaiah Howard,Male
100,Genesis Mitchell,Female
36,Evelyn Perez,Female
76,Audrey Perry,Female
65,Joseph Peterson,Male
78,Ariana Peterson,Female
32,Chloe Nelson,Female
54,Aubrey Cooper,Female
4,Emily Brown,Female
55,Jonathan Bailey,Male
31,Matthew Adams,Male
36,Evelyn Perez,Female
61,Thomas Brooks,Male
87,Luke Butler,Male
35,Samuel Mitchell,Male
31,Matthew Adams,Male
32,Chloe Nelson,Female
61,Thomas Brooks,Male
74,Claire Long,Female
52,Victoria Morgan,Female
60,Riley Ward,Female
95,Sean Ramirez,Male
61,Thomas Brooks,Male
26,Abigail King,Female
26,Abigail King,Female
72,Mila Powell,Female
91,Brandon Ward,Male
28,Madison Wright,Female
76,Audrey Perry,Female
69,Jack Ross,Male
63,Aaron Gray,Male
8,Sophia Davis,Female
55,Jonathan Bailey,Male
42,Hannah Turner,Female
78,Ariana Peterson,Female
79,Levi Cox,Male
7,James Miller,Male
38,Grace Campbell,Female
3,Michael Johnson,Male
31,Matthew Adams,Male
16,Emma Harris,Female
86,Sofia Simmons,Female
35,Samuel Mitchell,Male
68,Ellie Sanders,Female
52,Victoria Morgan,Female
54,Aubrey Cooper,Female
29,Sebastian Green,Male
8,Sophia Davis,Female
25,Daniel Allen,Male
80,Caroline Morgan,Female
19,Mason Garcia,Male
98,Paisley Roberts,Female
88,Hazel Hayes,Female
15,Lucas White,Male
78,Ariana Peterson,Female
83,Dylan Patterson,Male
54,Aubrey Cooper,Female
72,Mila Powell,Female
3,Michael Johnson,Male
52,Victoria Morgan,Female
4,Emily Brown,Female
69,Jack Ross,Male
7,James Miller,Male
26,Abigail King,Female
7,James Miller,Male
20,Amelia Gonzalez,Female
67,Adam James,Male
81,Connor Bryant,Male
72,Mila Powell,Female
63,Aaron Gray,Male
24,Ella Young,Female
13,Noah Moore,Male
100,Genesis Mitchell,Female
51,Ryan Cook,Male
98,Paisley Roberts,Female
88,Hazel Hayes,Female
49,Nathan Rogers,Male
25,Daniel Allen,Male
6,Olivia Martinez,Female
15,Lucas White,Male
48,Zoe Morris,Female
59,Isaiah Howard,Male
33,Aiden Hill,Male
7,James Miller,Male
42,Hannah Turner,Female
49,Nathan Rogers,Male
91,Brandon Ward,Male
93,Cole Flores,Male
33,Aiden Hill,Male
1,John Doe,Male
61,Thomas Brooks,Male
92,Aurora Carter,Female
37,David Roberts,Male
78,Ariana Peterson,Female
61,Thomas Brooks,Male
41,Caleb Edwards,Male
53,Christian Bell,Male
16,Emma Harris,Female
33,Aiden Hill,Male
13,Noah Moore,Male
6,Olivia Martinez,Female
55,Jonathan Bailey,Male
95,Sean Ramirez,Male
11,Liam Anderson,Male
52,Victoria Morgan,Female
67,Adam James,Male
42,Hannah Turner,Female
56,Addison Rivera,Female
7,James Miller,Male
65,Joseph Peterson,Male
52,Victoria Morgan,Female
8,Sophia Davis,Female
90,Violet Morales,Female
4,Emily Brown,Female
58,Layla Cox,Female
92,Aurora Carter,Female
71,Owen Foster,Male
35,Samuel Mitchell,Male
56,Addison Rivera,Female
9,Benjamin Wilson,Male
72,Mila Powell,Female
42,Hannah Turner,Female
56,Addison Rivera,Female
33,Aiden Hill,Male
80,Caroline Morgan,Female
36,Evelyn Perez,Female
39,Elijah Phillips,Male
98,Paisley Roberts,Female
58,Layla Cox,Female
38,Grace Campbell,Female
44,Samantha Collins,Female
33,Aiden Hill,Male
13,Noah Moore,Male
20,Amelia Gonzalez,Female
86,Sofia Simmons,Female
57,Hunter Richardson,Male
63,Aaron Gray,Male
61,Thomas Brooks,Male
12,Mia Taylor,Female
18,Charlotte Thompson,Female
88,Hazel Hayes,Female
62,Lillian Diaz,Female
82,Savannah Howard,Female
29,Sebastian Green,Male
77,Julian Coleman,Male
15,Lucas White,Male
96,Scarlett Price,Female
70,Naomi Price,Female
56,Addison Rivera,Female
33,Aiden Hill,Male
62,Lillian Diaz,Female
80,Caroline Morgan,Female
54,Aubrey Cooper,Female
95,Sean Ramirez,Male
65,Joseph Peterson,Male
80,Caroline Morgan,Female
53,Christian Bell,Male
11,Liam Anderson,Male
42,Hannah Turner,Female
91,Brandon Ward,Male
80,Caroline Morgan,Female
99,Dominic Ross,Male
81,Connor Bryant,Male
45,Gabriel Ramirez,Male
90,Violet Morales,Female
51,Ryan Cook,Male
18,Charlotte Thompson,Female
37,David Roberts,Male
4,Emily Brown,Female
42,Hannah Turner,Female
69,Jack Ross,Male
65,Joseph Peterson,Male
26,Abigail King,Female
26,Abigail King,Female
78,Ariana Peterson,Female
18,Charlotte Thompson,Female
51,Ryan Cook,Male
99,Dominic Ross,Male
81,Connor Bryant,Male
54,Aubrey Cooper,Female
4,Emily Brown,Female
28,Madison Wright,Female
40,Zoey Evans,Female
35,Samuel Mitchell,Male
9,Benjamin Wilson,Male
84,Camila Phillips,Female
69,Jack Ross,Male
98,Paisley Roberts,Female
5,William Garcia,Male
91,Brandon Ward,Male
67,Adam James,Male
15,Lucas White,Male
33,Aiden Hill,Male
87,Luke Butler,Male
11,Liam Anderson,Male
39,Elijah Phillips,Male
30,Scarlett Baker,Female
38,Grace Campbell,Female
13,Noah Moore,Male
35,Samuel Mitchell,Male
97,Ryder Gomez,Male
69,Jack Ross,Male
66,Luna Flores,Female
36,Evelyn Perez,Female
8,Sophia Davis,Female
95,Sean Ramirez,Male
79,Levi Cox,Male
87,Luke Butler,Male
31,Matthew Adams,Male
56,Addison Rivera,Female
38,Grace Campbell,Female
87,Luke Butler,Male
56,Addison Rivera,Female
83,Dylan Patterson,Male
12,Mia Taylor,Female
75,Isaac Jenkins,Male
15,Lucas White,Male
93,Cole Flores,Male
95,Sean Ramirez,Male
57,Hunter Richardson,Male
97,Ryder Gomez,Male
77,Julian Coleman,Male
56,Addison Rivera,Female
33,Aiden Hill,Male
82,Savannah Howard,Female
70,Naomi Price,Female
81,Connor Bryant,Male
68,Ellie Sanders,Female
81,Connor Bryant,Male
48,Zoe Morris,Female
40,Zoey Evans,Female
59,Isaiah Howard,Male
2,Jane Smith,Female
32,Chloe Nelson,Female
52,Victoria Morgan,Female
32,Chloe Nelson,Female
57,Hunter Richardson,Male
26,Abigail King,Female
76,Audrey Perry,Female
9,Benjamin Wilson,Male
38,Grace Campbell,Female
18,Charlotte Thompson,Female
17,Ethan Martin,Male
36,Evelyn Perez,Female
61,Thomas Brooks,Male
13,Noah Moore,Male
2,Jane Smith,Female
84,Camila Phillips,Female
98,Paisley Roberts,Female
62,Lillian Diaz,Female
83,Dylan Patterson,Male
93,Cole Flores,Male
45,Gabriel Ramirez,Male
20,Amelia Gonzalez,Female
31,Matthew Adams,Male
100,Genesis Mitchell,Female
36,Evelyn Perez,Female
69,Jack Ross,Male
52,Victoria Morgan,Female
78,Ariana Peterson,Female
61,Thomas Brooks,Male
72,Mila Powell,Female
48,Zoe Morris,Female
23,Alexander Walker,Male
40,Zoey Evans,Female
57,Hunter Richardson,Male
74,Claire Long,Female
94,Eleanor Stewart,Female
80,Caroline Morgan,Female
41,Caleb Edwards,Male
19,Mason Garcia,Male
97,Ryder Gomez,Male
61,Thomas Brooks,Male
95,Sean Ramirez,Male
38,Grace Campbell,Female
13,Noah Moore,Male
8,Sophia Davis,Female
40,Zoey Evans,Female
23,Alexander Walker,Male
82,Savannah Howard,Female
28,Madison Wright,Female
57,Hunter Richardson,Male
10,Ava Thomas,Female
51,Ryan Cook,Male
20,Amelia Gonzalez,Female
20,Amelia Gonzalez,Female
35,Samuel Mitchell,Male
3,Michael Johnson,Male
48,Zoe Morris,Female
83,Dylan Patterson,Male
21,Jacob Clark,Male
14,Isabella Lee,Female
42,Hannah Turner,Female
1,John Doe,Male
9,Benjamin Wilson,Male
20,Amelia Gonzalez,Female
98,Paisley Roberts,Female
1,John Doe,Male
43,Andrew Torres,Male
59,Isaiah Howard,Male
12,Mia Taylor,Female
60,Riley Ward,Female
22,Harper Lewis,Female
80,Caroline Morgan,Female
98,Paisley Roberts,Female
22,Harper Lewis,Female
68,Ellie Sanders,Female
6,Olivia Martinez,Female
52,Victoria Morgan,Female
49,Nathan Rogers,Male
8,Sophia Davis,Female
100,Genesis Mitchell,Female
64,Nora Hughes,Female
87,Luke Butler,Male
56,Addison Rivera,Female
87,Luke Butler,Male
44,Samantha Collins,Female
99,Dominic Ross,Male
8,Sophia Davis,Female
63,Aaron Gray,Male
84,Camila Phillips,Female
25,Daniel Allen,Male
97,Ryder Gomez,Male
62,Lillian Diaz,Female
97,Ryder Gomez,Male
11,Liam Anderson,Male
95,Sean Ramirez,Male
72,Mila Powell,Female
31,Matthew Adams,Male
28,Madison Wright,Female
24,Ella Young,Female
58,Layla Cox,Female
63,Aaron Gray,Male
70,Naomi Price,Female
23,Alexander Walker,Male
59,Isaiah Howard,Male
51,Ryan Cook,Male
84,Camila Phillips,Female
75,Isaac Jenkins,Male
12,Mia Taylor,Female
73,Lucas Reed,Male
61,Thomas Brooks,Male
72,Mila Powell,Female
2,Jane Smith,Female
71,Owen Foster,Male
68,Ellie Sanders,Female
64,Nora Hughes,Female
52,Victoria Morgan,Female
61,Thomas Brooks,Male
69,Jack Ross,Male
41,Caleb Edwards,Male
27,Henry Scott,Male
70,Naomi Price,Female
22,Harper Lewis,Female
3,Michael Johnson,Male
82,Savannah Howard,Female
75,Isaac Jenkins,Male
28,Madison Wright,Female
54,Aubrey Cooper,Female
34,Lily Carter,Female
35,Samuel Mitchell,Male
96,Scarlett Price,Female
22,Harper Lewis,Female
96,Scarlett Price,Female
57,Hunter Richardson,Male
35,Samuel Mitchell,Male
100,Genesis Mitchell,Female
98,Paisley Roberts,Female
45,Gabriel Ramirez,Male
85,Wyatt Alexander,Male
1,John Doe,Male
84,Camila Phillips,Female
13,Noah Moore,Male
48,Zoe Morris,Female
66,Luna Flores,Female
70,Naomi Price,Female
66,Luna Flores,Female
21,Jacob Clark,Male
85,Wyatt Alexander,Male
91,Brandon Ward,Male
17,Ethan Martin,Male
87,Luke Butler,Male
93,Cole Flores,Male
16,Emma Harris,Female
24,Ella Young,Female
85,Wyatt Alexander,Male
13,Noah Moore,Male
74,Claire Long,Female
3,Michael Johnson,Male
24,Ella Young,Female
39,Elijah Phillips,Male
1,John Doe,Male
29,Sebastian Green,Male
86,Sofia Simmons,Female
98,Paisley Roberts,Female
94,Eleanor Stewart,Female
54,Aubrey Cooper,Female
46,Aria Stewart,Female
59,Isaiah Howard,Male
55,Jonathan Bailey,Male
42,Hannah Turner,Female
77,Julian Coleman,Male
20,Amelia Gonzalez,Female
71,Owen Foster,Male
22,Harper Lewis,Female
47,Joshua Sanchez,Male
98,Paisley Roberts,Female
20,Amelia Gonzalez,Female
4,Emily Brown,Female
78,Ariana Peterson,Female
62,Lillian Diaz,Female
96,Scarlett Price,Female
27,Henry Scott,Male
76,Audrey Perry,Female
